id,class
1,1
2,2
3,3
4,4
5,5
6,5
7,2
8,3
9,4
10,5
11,3
12,2
13,3
14,2
15,2
16,1
17,2
18,3
19,4
20,5
21,3
22,2
23,4
24,4
25,5
26,1
27,2
28,3
29,4
30,3
31,2
32,2
33,3
34,4
35,5
36,1
37,2
38,3
39,4
40,5
41,2
42,4
43,3
44,4
45,2
46,1
47,2
48,3
49,5
50,5
51,2
52,2
53,2
54,4
55,5
56,2
57,2
58,2
59,3
60,3
61,1
62,2
63,3
64,4
65,5
66,1
67,2
68,3
69,2
70,2
71,2
72,2
73,2
74,4
75,3
76,2
77,4
78,3
79,4
80,5
81,1
82,2
83,3
84,3
85,3
86,3
87,2
88,3
89,4
90,5
91,4
92,4
93,3
94,3
95,5
96,3
97,2
98,3
99,4
100,2
101,2
102,2
103,3
104,4
105,5
106,2
107,2
108,3
109,4
110,2
111,2
112,2
113,3
114,4
115,3
116,1
117,2
118,3
119,2
120,3
121,2
122,2
123,3
124,4
125,5
126,2
127,2
128,3
129,3
130,5
131,1
132,2
133,3
134,1
135,2
136,2
137,2
138,3
139,4
140,3
141,1
142,2
143,3
144,4
145,5
146,2
147,2
148,3
149,4
150,5
151,2
152,1
153,2
154,3
155,4
156,2
157,2
158,3
159,4
160,5
161,2
162,4
163,3
164,4
165,4
166,1
167,4
168,3
169,4
170,5
171,1
172,2
173,2
174,4
175,3
